Service,Website,Capabilities,Cost,API Key Generation,API Documentation,Robots[.]txt to Prevent Crawling by Specific User-Agents
Amazon AI Services,hxxps://aws[.]amazon[.]com/machine-learning/,Image/Video analysis; Natural Language Processing; Speech recognition; Integrating generative AI,Pay-as-you-go,AWS Management Console:,,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult AWS documentation for specific instructions)
Amazon Rekognition,hxxps://aws[.]amazon[.]com/rekognition/,Image & Video analysis; Object detection; Facial recognition; Content moderation,Pay-as-you-go,AWS Management Console:,,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (*Note: This may block everything; consult AWS documentation for specific instructions)
Amazon Transcribe,hxxps://aws[.]amazon[.]com/transcribe/,Speech-to-text conversion,Pay-as-you-go,AWS Management Console:,,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult AWS documentation for specific instructions)
CloudSight,hxxps://cloudsight[.]ai/,Image recognition; Object detection; Landmark recognition,Free tier (limited); Paid plans (discontinued in 2018),N/A,hxxps://api[.]cloudsight[.]ai/ (Archive),Disallow: / (**Service potentially inactive; robots[.]txt may not be relevant)
Google Cloud AI,hxxps://cloud[.]google[.]com/products/ai,Computer vision; Natural Language Processing; Speech recognition; Translation; Sentiment analysis; Integrating generative AI,Pay-as-you-go,,Google Cloud Console: hxxps://cloud[.]google[.]com/document-ai,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult Google Cloud documentation for specific instructions)
Google Cloud Speech-to-Text,hxxps://cloud[.]google[.]com/speech-to-text,Speech recognition,Pay-as-you-go,,Google Cloud Console: hxxps://console[.]cloud[.]google[.]com/,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult Google Cloud documentation for specific instructions)
Google Cloud Video AI,hxxps://cloud[.]google[.]com/video-ai,Video analysis; Object detection; Action recognition; Sentiment analysis (in video),Pay-as-you-go,,Google Cloud Console: hxxps://console[.]cloud[.]google[.]com/,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult Google Cloud documentation for specific instructions)
IBM Cloud Video and Image Insights,hxxps://www[.]ibm[.]com/cloud/video-and-image-insights,Video analysis; Image analysis; Facial recognition; Object detection,Pay-as-you-go,,IBM Cloud: [hxxps://www[.]ibm[.]com/cloud/free],Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult IBM Cloud documentation)
IBM Watson Speech to Text,[[invalid URL removed]],Speech recognition,Pay-as-you-go,IBM Cloud:,,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult IBM Cloud documentation)
Indico[.]io,hxxps://www[.]indicodata[.]com/,Document AI; Text & form extraction; Content classification,Free tier & Paid plans,Sign up for free account:,,Disallow: / (**May require additional configuration; consult Indico documentation)
MeaningCloud,hxxps://www[.]meaningcloud[.]com/,Sentiment analysis; Topic modeling; Entity recognition,Free tier & Paid plans,Sign up for free account:,,Disallow: / (**May require additional configuration; consult MeaningCloud documentation)
Microsoft Azure Cognitive Services,hxxps://azure[.]microsoft[.]com/en-us/products/ai-services,Computer vision; Speech; Language processing; Generative AI,Pay-as-you-go,,Azure Portal: hxxps://learn[.]microsoft[.]com/en-us/azure/ai-services/,Disallow: /* for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult Azure documentation for specific instructions)
Microsoft Azure Computer Vision,hxxps://azure[.]microsoft[.]com/en-us/services/cognitive-services/computer-vision/,Image analysis; Object detection; Optical Character Recognition (OCR),Pay-as-you-go,,Azure Portal: hxxps://azure[.]microsoft[.]com/en-us/pricing/details/cognitive-services/,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult Azure documentation for specific instructions)
Microsoft Azure Speech Services,[[invalid URL removed],Speech recognition; Text-to-speech; Speaker identification,Pay-as-you-go,,Azure Portal: hxxps://azure[.]microsoft[.]com/en-us/pricing/details/cognitive-services/,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult Azure documentation for specific instructions)
OpenAI,[openai[.]com],Advanced generative AI models,Potentially pay-as-you-go ,,,Disallow: / for GPTBot; ChatGPT-User; CCBot; anthropic-ai (**Note: This may block everything; consult AWS documentation for specific instructions)
Paperspace Core,[paperspace[.]com],Cloud computing for machine learning; Cloud-based platform,Free tier & Paid plans,Sign up for free account:,,Not applicable (API terms may specify limitations)
Paperspace Gradient,[[invalid URL removed]],Machine learning training & inference; Cloud-based platform,Free tier & Paid plans,Sign up for free account:,,Not applicable (API terms may specify limitations)
Rev[.]ai,[rev[.]ai],Speech-to-text; transcription & captioning,Free tier & Paid plans,Sign up for free account:,,Disallow: / (**May require additional configuration; consult Rev[.]ai documentation)
Sinclair AI,hxxps://www[.]sinclair[.]ai/,Conversational AI; Chatbots; Virtual Assistants,Free tier & Paid plans,Sign up for free account:,,Disallow: / (**May require additional configuration; consult Sinclair documentation)
Slader,[slader[.]com],Homework help platform (uses AI for solutions),Subscription plans,N/A,,N/A
Sonantic,[sonantic[.]com],Speech generation; Audio creation,Free tier & Paid plans,Sign up for free account:,,Disallow: / (**May require additional configuration; consult Sonantic documentation)
Speechmatics,[speechmatics[.]com],Speech recognition; Transcription; Speaker diarization,Free trial & Paid plans,Sign up for free trial:,,Disallow: / (**May require additional configuration; consult Speechmatics documentation)
